12  51.553805556   21.894472222      394    10880    25      0.000  TDN ENRT EP DEBLIN TACAN DME
 3  52.333305556   16.967666667      276    11150    25      4.000  TKS ENRT EP KRZESINY (POZNAN) TACAN
12  52.333305556   16.967666667      276    11150    25      0.000  TKS ENRT EP KRZESINY (POZNAN) TACAN DME
 3  54.024944444   19.137583333       20    11710    25      6.000  TMB ENRT EP MALBORK TACAN
12  54.024944444   19.137583333       20    11710    25      0.000  TMB ENRT EP MALBORK TACAN DME
 3  53.401638889   16.071611111      495    11535    25      5.000  TMI ENRT EP MIROSLAWIEC TACAN
12  53.401638889   16.071611111      495    11535    25      0.000  TMI ENRT EP MIROSLAWIEC TACAN DME
 3  52.194444444   21.665527778      604    11705    25      6.000  TMM ENRT EP MINSK MAZOWIECKI TACAN
12  52.194444444   21.665527778      604    11705    25      0.000  TMM ENRT EP MINSK MAZOWIECKI TACAN DME
 3  54.582250000   18.506444444      148    11350    25      5.000  TOW ENRT EP OKSYWIE (GDYNIA) TACAN
12  54.582250000   18.506444444      148    11350    25      0.000  TOW ENRT EP OKSYWIE (GDYNIA) TACAN DME
 3  52.376972222   17.850361111      381    11555    40      5.000  TPW ENRT EP POWIDZ TACAN
12  52.376972222   17.850361111      381    11555    40      0.000  TPW ENRT EP POWIDZ TACAN DME
 3  53.782916667   15.851972222      394    11600    25      5.000  TSN ENRT EP SWIDWIN TACAN
12  53.782916667   15.851972222      394    11600    25      0.000  TSN ENRT EP SWIDWIN TACAN DME
13  54.210555556   17.073333333      492    11380   130      0.000  TZE ENRT EP TRZEBIELINO DME
 3  52.259250000   20.657166667      295    11490   130      5.000  WAR ENRT EP ZABOROWEK VOR/DME
12  52.259250000   20.657166667      295    11490   130      0.000  WAR ENRT EP ZABOROWEK VOR/DME
 3  51.092666667   16.918944444      394    11165    40      4.000  WCL ENRT EP WROCLAW VOR/DME
12  51.092666667   16.918944444      394    11165    40      0.000  WCL ENRT EP WROCLAW VOR/DME
13  54.679444444   17.675833333      197    10800   130      0.000  WIC ENRT EP WICKO DME
 3  52.140916667   15.800694444      197    11065   130      4.000  ZLG ENRT EP ZIELONA GORA VOR/DME
12  52.140916667   15.800694444      197    11065   130      0.000  ZLG ENRT EP ZIELONA GORA VOR/DME
 2  53.103083333   18.053083333        0      388    25      0.000  BDG ENRT EP BYDGOSZCZ NDB
 2  50.108722222   22.134055556        0      474    15      0.000  BIA ENRT EP JASIONKA (RZESZOW) NDB
 2  53.475305556   15.333027778        0      375    25      0.000  CHO ENRT EP CHOCIWEL NDB
 2  54.421222222   17.797888889        0      423    15      0.000    M ENRT EP CEWICE NDB
 2  54.427444444   17.840972222        0      311    15      0.000   ML ENRT EP CEWICE NDB
 2  54.595222222   18.491555556        0      290    15      0.000   NO ENRT EP OKSYWIE (GDYNIA) NDB
 2  54.615888889   18.457583333        0      494    15      0.000  NOW ENRT EP OKSYWIE (GDYNIA) NDB
 2  54.563916667   18.542944444        0      290    15      0.000   NW ENRT EP OKSYWIE (GDYNIA) NDB
 2  53.555083333   14.959972222        0      397    50      0.000   OL ENRT EP GOLENIOW (SZCZECIN) NDB
 4  53.094722222   17.952916667      295    10910    18  92782.036  BYD EPBY EP 26 ILS-cat-I
 6  53.096944444   17.992138889      295    10910    18 300262.036  BYD EPBY EP 26 GS
12  53.096944444   17.992138889      295    10910    25      0.000  BYD EPBY EP SZWEDEROWO DME-ILS
 4  54.412666667   17.738750000      505    11130    18  90616.153  ICE EPCE EP 25 ILS-cat-I
 6  54.419305556   17.776750000      505    11130    18 300256.153  ICE EPCE EP 25 GS
12  54.419305556   17.776750000      505    11130    25      0.000  ICE EPCE EP CEWICE DME-ILS
 4  51.559055556   21.870694444      393    10910    18 106500.814  IDN EPDE EP 30 ILS-cat-I
 6  51.545916667   21.902666667      393    10910    18 300300.814  IDN EPDE EP 30 GS
12  51.545972222   21.902638889      394    10910    25      0.000  IDN EPDE EP DEBLIN DME-ILS
 4  54.382305556   18.447027778      488    11030    18 103973.001 IGDA EPGD EP 29 ILS-cat-II
 6  54.371611111   18.485638889      488    11030    18 300293.001 IGDA EPGD EP 29 GS
12  54.371611111   18.485638889      492    11030    25      0.000 IGDA EPGD EP LECH WALESA DME-ILS
14  54.371266667   18.491716667      451    56063   0.0    112.969  R11 EPGD EP 11 LPV
16  54.381066667   18.452050000      451    56063  50.0 349112.969  R11 EPGD EP 11 EGNOS
14  54.381455000   18.450476806      487    57701 112.0    293.001  R29 EPGD EP 29 LPV
16  54.371266667   18.491716667      487    57701  50.0 300293.001  R29 EPGD EP 29 EGNOS
