Waypoint,,EPBAA,49.8483,19.0303,,,EPBA,,EP
Waypoint,,EPBAB,49.8053,18.8914,,,EPBA,,EP
Waypoint,,EPBAC,49.7858,19.0678,,,EPBA,,EP
Waypoint,,EPBCA,52.0633,20.7433,,,EPBC,,EP
Waypoint,,EPBCB,52.1842,20.6139,,,EPBC,,EP
Waypoint,,EPBCD,52.3433,21.2278,,,EPBC,,EP
Waypoint,,EPBCE,52.1817,20.9861,,,EPBC,,EP
Waypoint,,EPBCF,52.2608,20.7356,,,EPBC,,EP
Waypoint,,EPBCG,51.9908,21.2347,,,EPBC,,EP
Waypoint,,EPBCJ,52.3778,20.9167,,,EPBC,,EP
Waypoint,,EPBCK,52.0914,21.2375,,,EPBC,,EP
Waypoint,,EPBCL,52.3333,20.8833,,,EPBC,,EP
Waypoint,,EPBCM,52.2228,21.2500,,,EPBC,,EP
Waypoint,,EPBCN,52.2175,21.0972,,,EPBC,,EP
Waypoint,,EPBCP,52.3047,21.0839,,,EPBC,,EP
Waypoint,,EPBCT,51.9706,20.8336,,,EPBC,,EP
Waypoint,,EPBCW,52.2592,20.6572,,,EPBC,,EP
Waypoint,,EPBCZ,52.2903,21.0108,,,EPBC,,EP
Waypoint,,EPBKD,53.1097,23.2358,,,EPBK,,EP
Waypoint,,EPBKK,53.0819,23.1017,,,EPBK,,EP
Waypoint,,EPBKL,53.0300,23.1236,,,EPBK,,EP
Waypoint,,EPBKO,53.1853,23.2622,,,EPBK,,EP
Waypoint,,EPBKP,53.1389,23.0583,,,EPBK,,EP
Waypoint,,EPBKR,53.0522,23.3356,,,EPBK,,EP
Waypoint,,EPBYK,52.9725,17.7228,,,EPBY,,EP
Waypoint,,EPBYL,52.9517,17.9203,,,EPBY,,EP
Waypoint,,EPBYM,53.2236,18.0369,,,EPBY,,EP
Waypoint,,EPBYN,53.1761,18.0564,,,EPBY,,EP
Waypoint,,EPBYO,53.1397,17.5917,,,EPBY,,EP
Waypoint,,EPBYP,53.1569,17.8886,,,EPBY,,EP
Waypoint,,EPBYR,53.1533,18.0019,,,EPBY,,EP
Waypoint,,EPBYS,53.0525,17.9961,,,EPBY,,EP
Waypoint,,EPBYU,53.2078,18.3786,,,EPBY,,EP
Waypoint,,EPBYW,52.9761,18.0994,,,EPBY,,EP
Waypoint,,EPCDK,51.0286,23.2208,,,EPCD,,EP
Waypoint,,EPCDM,51.1461,23.4381,,,EPCD,,EP
Waypoint,,EPCDN,51.1678,23.3500,,,EPCD,,EP
Waypoint,,EPCDR,51.1214,23.2292,,,EPCD,,EP
Waypoint,,EPCDZ,51.0186,23.3708,,,EPCD,,EP
Waypoint,,EPCEG,54.5528,17.8364,,,EPCE,,EP
Waypoint,,EPCEH,54.5047,17.6397,,,EPCE,,EP
Waypoint,,EPCEI,54.4969,17.4944,,,EPCE,,EP
Waypoint,,EPCEJ,54.3547,17.5756,,,EPCE,,EP
Waypoint,,EPCEK,54.3503,17.9033,,,EPCE,,EP
Waypoint,,EPCEL,54.4706,18.0347,,,EPCE,,EP
Waypoint,,EPCES,54.3253,17.7906,,,EPCE,,EP
Waypoint,,EPDAE,54.3847,16.3967,,,EPDA,,EP
Waypoint,,EPDAG,54.4400,16.3733,,,EPDA,,EP
Waypoint,,EPDAH,54.4775,16.6517,,,EPDA,,EP
Waypoint,,EPDAJ,54.5400,16.5450,,,EPDA,,EP
Waypoint,,EPDAL,54.3067,16.1967,,,EPDA,,EP
Waypoint,,EPDAO,54.3583,16.5150,,,EPDA,,EP
Waypoint,,EPDAW,54.3028,16.3861,,,EPDA,,EP
Waypoint,,EPDEB,51.5675,22.1311,,,EPDE,,EP
Waypoint,,EPDED,51.5486,21.6922,,,EPDE,,EP
Waypoint,,EPDEG,51.4814,21.9114,,,EPDE,,EP
Waypoint,,EPDEK,51.4122,22.0533,,,EPDE,,EP
Waypoint,,EPDEL,51.7397,21.6747,,,EPDE,,EP
Waypoint,,EPDEM,51.5236,22.3158,,,EPDE,,EP
Waypoint,,EPDEN,51.5867,21.9389,,,EPDE,,EP
Waypoint,,EPDEO,51.5350,21.7611,,,EPDE,,EP
Waypoint,,EPDEP,51.4111,21.9283,,,EPDE,,EP
Waypoint,,EPDES,51.5236,21.8661,,,EPDE,,EP
Waypoint,,EPDEW,51.5892,21.5411,,,EPDE,,EP
Waypoint,,EPDEY,51.6397,21.9836,,,EPDE,,EP
Waypoint,,EPDEZ,51.3631,22.2942,,,EPDE,,EP
Waypoint,,EPGDG,54.3744,18.7789,,,EPGD,,EP
Waypoint,,EPGDI,54.4711,18.3097,,,EPGD,,EP
Waypoint,,EPGDM,54.4447,18.5444,,,EPGD,,EP
Waypoint,,EPGDN,54.4117,18.4850,,,EPGD,,EP
Waypoint,,EPGDS,54.3450,18.4350,,,EPGD,,EP
Waypoint,,EPGDX,54.2761,18.4894,,,EPGD,,EP
Waypoint,,EPGDZ,54.3250,18.1836,,,EPGD,,EP
Waypoint,,EPGIE,53.4381,18.9442,,,EPGI,,EP
Waypoint,,EPGIG,53.6108,18.9467,,,EPGI,,EP
Waypoint,,EPGIM,53.4839,18.7397,,,EPGI,,EP
Waypoint,,EPGIO,53.5556,18.7658,,,EPGI,,EP
Waypoint,,EPGIR,53.5233,18.9556,,,EPGI,,EP
Waypoint,,EPGLB,50.2647,19.4347,,,EPGL,,EP
Waypoint,,EPGLG,50.4036,19.0550,,,EPGL,,EP
Waypoint,,EPGLH,50.3181,19.2372,,,EPGL,,EP
Waypoint,,EPGLM,50.1789,18.9069,,,EPGL,,EP
